Name,Type,Address,Entity,Canton,Municipality,Latitude,Longitude,Phone,Email,Url
"Al Amel","Elementary","Osik 8","FBiH","KS","Ilidza","43.83444165","18.27962994","38733230294","",""
"Centar 'Vladimir Nazor'","Elementary","Azize Sirbegovic 80","FBiH","KS","","43.84837829","18.37751985","38733650196","","http://www.vladimirnazor.edu.ba"
"Centar za slijepu i slabovidnu djecu i omladinu","Elementary","Aleje Bosne srebrene 22","FBiH","KS","","43.84083387","18.33657861","38733473019","","http://www.czsd.edu.ba"
"Centar za slusnu i govornu rehabilitaciju","Elementary","Asima Ferhatovica 2","FBiH","KS","","43.87237479","18.41514587","38733664523","","http://www.cersig.edu.ba"
"Cetvrta osnovna skola - Ilidza","Elementary","Put Famosa 33","FBiH","KS","Ilidza","43.79476516","18.32296371","38733698202","","http://www.oscetvrta.edu.ba"
"Deseta osnovna skola Ilidza","Elementary","Osik 210","FBiH","KS","Ilidza","43.84224997","18.27739835","38733564540","",""
"Deveta osnovna skola","Elementary","Rakovicka cesta 339","FBiH","KS","","43.85978209","18.227005","38733428415","","http://www.osdeveta.edu.ba"
"Druga osnovna skola","Elementary","Skolska 1, Hrasnica","FBiH","KS","Ilidza","43.79820354","18.31140876","38733514137","","http://www.osdruga.edu.ba"
"Francuska osnovna skola CIFS Sarajevo","Elementary","Paromlinska 66","FBiH","KS","","43.85474968","18.3726114","38733444405","",""
"Osnovna skola 'Aneks'","Elementary","Vrbovska bb, Sarajevo","FBiH","KS","","43.84322887","18.37163504","38733658883","",""
"Katolicki skolski  centar - Osnovna skola Centar","Elementary","Mehmed pase Sokolovica 11","FBiH","KS","","43.86108944","18.42247367","38733665521","","http://www.ksc-sarajevo.edu.ba"
"Medjunarodna njemacka skola Sarajevo - Internationale Deutsche Schule Sarajevo","Elementary","Buka 13","FBiH","KS","","43.8609328","18.4195447","38733560520","","http://idss.ba"
"Medjunarodna osnovna skola 'Richmond Park International Primary school'","Elementary","Francuske revolucije bb","FBiH","KS","Ilidza","43.84802237","18.39425683","38733944140","","http://www.internationalschool.ba"
"OS 'Mehmed Handzic'","Elementary","Luzani bb - Ilidza","FBiH","KS","","43.82668649","18.30249309","38733626077","","http://www.osmh.edu.ba"
"OS 'Ðulistan'","Elementary","Ljesevo - Ilijas","FBiH","KS","","43.99147916","18.23356032","38733403321","","http://www.djulistan.edu.ba"
"OS 'Hadzici'","Elementary","Hadzeli bb","FBiH","KS","Hadzici","43.8250786","18.20876595","38733408811","","http://oshadzici.edu.ba"
"OS '6.mart' Hadzici","Elementary","6. Mart 1","FBiH","KS","Hadzici","43.82201123","18.19971085","38733420120","","http://www.os6mart.edu.ba"
"OS '9. maj' Hadzici-Pazaric","Elementary","Bjelasnicka 59","FBiH","KS","","43.78887144","18.15194607","38733417527","","http://www.os9majpa.edu.ba"
"OS 'Al-Walidein-Gazzaz'","Elementary","Hasiba Brankovica 2","FBiH","KS","","43.83769589","18.3501023","38733235507","","http://www.osgazzaz.edu.ba"
"OS 'Aleksa Santic'","Elementary","Branislava Nusica 95","FBiH","KS","","43.83578825","18.33770513","38733456533","","http://www.osas.edu.ba"
"OS 'Alija Nametak'","Elementary","Zaima Sarca 15","FBiH","KS","","43.86530526","18.42203379","38733562297","","http://www.osansa.edu.ba"
"OS 'Avdo Smailovic'","Elementary","Adema Buce 63-b","FBiH","KS","","43.86154971","18.36440384","38733619155","","http://www.osasmailovic.edu.ba"
