Name,Type,Address,Entity,Canton,Municipality,Latitude,Longitude,Phone,Email,Url
"Al Amel","Elementary","Osik 8","FBiH","KS","Ilidza","43.83444165","18.27962994","38733230294","",""
"Centar 'Vladimir Nazor'","Elementary","Azize Širbegović 80","FBiH","KS","","43.84837829","18.37751985","38733650196","","http://www.vladimirnazor.edu.ba"
"Centar za slijepu i slabovidnu djecu i omladinu","Elementary","Aleje Bosne srebrene 22","FBiH","KS","","43.84083387","18.33657861","38733473019","","http://www.czsd.edu.ba"
"Centar za slušnu i govornu rehabilitaciju","Elementary","Asima Ferhatovića 2","FBiH","KS","","43.87237479","18.41514587","38733664523","","http://www.cersig.edu.ba"
"Četvrta osnovna škola - Ilidža","Elementary","Put Famosa 33","FBiH","KS","Ilidza","43.79476516","18.32296371","38733698202","","http://www.oscetvrta.edu.ba"
"Deseta osnovna škola Ilidža","Elementary","Osik 210","FBiH","KS","Ilidza","43.84224997","18.27739835","38733564540","",""
"Deveta osnovna škola","Elementary","Rakovička cesta 339","FBiH","KS","","43.85978209","18.227005","38733428415","","http://www.osdeveta.edu.ba"
"Druga osnovna škola","Elementary","Školska 1, Hrasnica","FBiH","KS","Ilidza","43.79820354","18.31140876","38733514137","","http://www.osdruga.edu.ba"
"Francuska osnovna škola CIFS Sarajevo","Elementary","Paromlinska 66","FBiH","KS","","43.85474968","18.3726114","38733444405","",""
"Osnovna škola 'Aneks'","Elementary","Vrbovska bb, Sarajevo","FBiH","KS","","43.84322887","18.37163504","38733658883","",""
"Katolicki školski  centar - Osnovna škola Centar","Elementary","Mehmed paše Sokolovića 11","FBiH","KS","","43.86108944","18.42247367","38733665521","","http://www.ksc-sarajevo.edu.ba"
"Međunarodna njemačka škola Sarajevo - Internationale Deutsche Schule Sarajevo","Elementary","Buka 13","FBiH","KS","","43.8609328","18.4195447","38733560520","","http://idss.ba"
"Medjunarodna osnovna škola 'Richmond Park International Primary school'","Elementary","Francuske revolucije bb","FBiH","KS","Ilidza","43.84802237","18.39425683","38733944140","","http://www.internationalschool.ba"
"OŠ 'Mehmed Handžić'","Elementary","Lužani bb - Ilidža","FBiH","KS","","43.82668649","18.30249309","38733626077","","http://www.osmh.edu.ba"
"OŠ 'Ðulistan'","Elementary","Lješevo - Ilijaš","FBiH","KS","","43.99147916","18.23356032","38733403321","","http://www.djulistan.edu.ba"
"OŠ 'Hadžići'","Elementary","Hadželi bb","FBiH","KS","Hadžići","43.8250786","18.20876595","38733408811","","http://oshadzici.edu.ba"
"OŠ '6.mart' Hadžići","Elementary","6. Mart 1","FBiH","KS","Hadžići","43.82201123","18.19971085","38733420120","","http://www.os6mart.edu.ba"
"OŠ '9. maj' Hadžići-Pazarić","Elementary","Bjelašnička 59","FBiH","KS","","43.78887144","18.15194607","38733417527","","http://www.os9majpa.edu.ba"
"OŠ 'Al-Walidein-Gazzaz'","Elementary","Hasiba Brankovića 2","FBiH","KS","","43.83769589","18.3501023","38733235507","","http://www.osgazzaz.edu.ba"
"OŠ 'Aleksa Šantić'","Elementary","Branislava Nušića 95","FBiH","KS","","43.83578825","18.33770513","38733456533","","http://www.osas.edu.ba"
"OŠ 'Alija Nametak'","Elementary","Zaima Šarca 15","FBiH","KS","","43.86530526","18.42203379","38733562297","","http://www.osansa.edu.ba"
"OŠ 'Avdo Smailović'","Elementary","Adema Buće 63-b","FBiH","KS","","43.86154971","18.36440384","38733619155","","http://www.osasmailovic.edu.ba"
"OŠ 'Behaudin Selmanović'","Elementary","Viteška 6, Briješće, Sarajevo","FBiH","KS","","43.85783261","18.32325339","38733780020","","http://www.osbs.edu.ba"
"OŠ 'Ćamil Sijarić'","Elementary","Braće Mulić 16","FBiH","KS","","43.83066481","18.3403337","38733544301","","http://www.oscsijaricsa.edu.ba"
