Name,Type,Address,Entity,Canton,Municipality,Latitude,Longitude,Phone,Email,Web address
Al Amel,Elementary,Osik 8,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.83444165,18.27962994,38733230294,,
Centar 'Vladimir Nazor',Elementary,Azize Ša?irbegovi? 80,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84837829,18.37751985,38733650196,,http://www.vladimirnazor.edu.ba
Centar za slijepu i slabovidnu djecu i omladinu,Elementary,Aleje Bosne srebrene 22,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84083387,18.33657861,38733473019,,http://www.czsd.edu.ba
Centar za slušnu i govornu rehabilitaciju,Elementary,Asima Ferhatovi?a 2,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.87237479,18.41514587,38733664523,,http://www.cersig.edu.ba
?etvrta osnovna škola - Ilidža,Elementary,Put Famosa 33,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.79476516,18.32296371,38733698202,,http://www.oscetvrta.edu.ba
Deseta osnovna škola Ilidža,Elementary,Osik 210,Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.84224997,18.27739835,38733564540,,
Deveta osnovna škola,Elementary,Rakovi?ka cesta 339,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85978209,18.227005,38733428415,,http://www.osdeveta.edu.ba
Druga osnovna škola,Elementary,"Školska 1, Hrasnica",Federation Of Bosnia and Herzegovina,Canton Sarajevo,Ilidza,43.79820354,18.31140876,38733514137,,http://www.osdruga.edu.ba
Francuska osnovna škola CIFS Sarajevo,Elementary,Paromlinska 66,Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.85474968,18.3726114,38733444405,,
Osnovna škola 'Aneks',Elementary,"Vrbovska bb, Sarajevo",Federation Of Bosnia and Herzegovina,Canton Sarajevo,,43.84322887,18.37163504,38733658883,,
